PARTITIONCOL,BUSINESS,PRODUCT,SUB_PRODUCT,STAGE_ORDER,STAGE_NAMES,Journey_name,ENTRYPOINT_STAGE,clicks,users,EP_PLATFORM
202606,PERSONALLOAN,SALPL,SAL_NO_OFFER,1.0,PDP PAGE VIEW,SAL_NO_OFFER,JOURNEY_3,250895,128268,APP
202604,PERSONALLOAN,SALPL,SAL_NO_OFFER,12.0,EMPLOYMENT DETAILS PAGE,SAL_NO_OFFER,JOURNEY_3,347996,218078,APP
202604,PERSONALLOAN,SALPL,SAL_NO_OFFER,22.0,KYC_DETAILS_PAGE,SAL_NO_OFFER,JOURNEY_3,10133,6873,CT-WEB
202606,PERSONALLOAN,SALPL,SAL_PREAPPROVED,14.0,OFFICE ADDRESS PAGE,SAL_PREAPPROVED,DPAOP3,12903,8927,APP
202606,PERSONALLOAN,SALPL,SAL_NO_OFFER,15.0,OFFER POPUP VIEWED,SAL_NO_OFFER,JOURNEY_3,25718,11049,CT-WEB
202604,PERSONALLOAN,SALPL,SAL_PREAPPROVED,12.0,EMPLOYMENT DETAILS PAGE,SAL_PREAPPROVED,JOURNEY_3,16991,14504,APP
202605,PERSONALLOAN,SALPL,SAL_PREAPPROVED,1.0,PDP PAGE VIEW,SAL_PREAPPROVED,DPAOP3,770207,98886,APP
202605,PERSONALLOAN,SALPL,SAL_PREAPPROVED,16.0,LOAN SUMMARY PAGE,SAL_PREAPPROVED,DPAOP3,29544,19369,APP
202604,PERSONALLOAN,SALPL,SAL_NO_OFFER,15.0,OFFER POPUP VIEWED,SAL_NO_OFFER,JOURNEY_3,30861,13425,CT-WEB
202606,PERSONALLOAN,SALPL,SAL_PREAPPROVED,4.0,PERSONAL DETAILS PAGE SUBMIT,SAL_PREAPPROVED,JOURNEY_3,1684,1410,CT-WEB
202608,PERSONALLOAN,SALPL,SAL_NO_OFFER,4.0,PERSONAL DETAILS PAGE SUBMIT,SAL_NO_OFFER,JOURNEY_3,632,394,APP
202606,PERSONALLOAN,SALPL,SAL_PREAPPROVED,22.0,KYC_DETAILS_PAGE,SAL_PREAPPROVED,JOURNEY_3,160,118,CT-WEB
202604,PERSONALLOAN,SALPL,SAL_PREAPPROVED,25.0,APPLICATION SUBMITTED SUCCESSFULLY VIEWED,SAL_PREAPPROVED,JOURNEY_3,46789,9082,APP
202608,PERSONALLOAN,SALPL,SAL_NO_OFFER,18.0,KYC_VERIFICATION_PAGE,SAL_NO_OFFER,DPAOP3,311846,149875,APP
202608,PERSONALLOAN,SALPL,SAL_NO_OFFER,19.0,BANK DETAILS PAGE VIEWED,SAL_NO_OFFER,DPAOP3,331201,148539,APP
202605,PERSONALLOAN,SALPL,SAL_PREAPPROVED,16.0,LOAN SUMMARY PAGE > SAVE TO CART,SAL_PREAPPROVED,DPAOP3,752,636,APP
202605,PERSONALLOAN,SALPL,SAL_NO_OFFER,17.0,"OFFER DETAILS,EDIT OFFER DETAILS VIEWED",SAL_NO_OFFER,JOURNEY_3,183,62,APP
202605,PERSONALLOAN,SALPL,SAL_PREAPPROVED,4.1,PERSONAL DETAILS PAGE GACB > MULTIPLE ERROR,SAL_PREAPPROVED,JOURNEY_3,104,72,CT-WEB
202605,PERSONALLOAN,SALPL,SAL_NO_OFFER,2.0,PDP PAGE > RESUME APPLICATION,SAL_NO_OFFER,JOURNEY_3,25,14,CT-WEB
202606,PERSONALLOAN,SALPL,SAL_NO_OFFER,2.0,PDP PAGE > GACB,SAL_NO_OFFER,JOURNEY_3,7,3,APP
202606,PERSONALLOAN,SALPL,SAL_PREAPPROVED,18.0,"OFFER DETAILS,EDIT OFFER DETAILS",SAL_PREAPPROVED,JOURNEY_3,4,3,APP
202607,PERSONALLOAN,SALPL,SAL_NO_OFFER,28.0,LOAN DISBURSAL INITIATED,SAL_NO_OFFER,JOURNEY_3,8,7,CT-WEB
202604,PERSONALLOAN,SALPL,SAL_PREAPPROVED,2.1,PDP PAGE > CHECK LOAN OFFER > WITH ERROR-EP_VALIDATION_ERROR,SAL_PREAPPROVED,DPAOP3,2,1,CT-WEB
202605,PERSONALLOAN,SALPL,SAL_NO_OFFER,4.3,PERSONAL DETAILS PAGE SUBMIT > ERROR ON SCREEN,SAL_NO_OFFER,JOURNEY_3,935,219,APP
202608,PERSONALLOAN,SALPL,SAL_PREAPPROVED,2.0,PDP PAGE > CHECK LOAN OFFER,SAL_PREAPPROVED,DPAOP3,50006,32136,APP
202604,PERSONALLOAN,SALPL,SAL_NO_OFFER,14.0,OFFICE ADDRESS,SAL_NO_OFFER,JOURNEY_3,519184,295463,APP
202608,PERSONALLOAN,SALPL,SAL_NO_OFFER,16.0,LOAN SUMMARY PAGE > GET A CALL BACK,SAL_NO_OFFER,DPAOP3,12098,9485,APP
202608,PERSONALLOAN,SALPL,SAL_PREAPPROVED,16.0,LOAN SUMMARY PAGE > GET A CALL BACK,SAL_PREAPPROVED,DPAOP3,644,486,APP
202607,PERSONALLOAN,SALPL,SAL_NO_OFFER,21.0,KYC_DETAILS_PAGE VIEWED,SAL_NO_OFFER,JOURNEY_3,18099,11000,CT-WEB
202606,PERSONALLOAN,SALPL,SAL_PREAPPROVED,25.0,APPLICATION SUBMITTED SUCCESSFULLY VIEWED,SAL_PREAPPROVED,JOURNEY_3,1119,342,APP
202606,PERSONALLOAN,SALPL,SAL_NO_OFFER,4.0,PERSONAL DETAILS PAGE SUBMIT,SAL_NO_OFFER,DPAOP3,4928410,1235816,APP
202606,PERSONALLOAN,SALPL,SAL_PREAPPROVED,4.0,PERSONAL DETAILS PAGE SUBMIT,SAL_PREAPPROVED,JOURNEY_3,2901,1722,APP
202605,PERSONALLOAN,SALPL,SAL_NO_OFFER,24.0,BANK DETAILS PAGE,SAL_NO_OFFER,JOURNEY_3,4883,3088,CT-WEB
202608,PERSONALLOAN,SALPL,SAL_NO_OFFER,14.0,OFFICE ADDRESS,SAL_NO_OFFER,JOURNEY_3,9941,8071,CT-WEB
202608,PERSONALLOAN,SALPL,SAL_PREAPPROVED,12.0,EMPLOYMENT DETAILS PAGE,SAL_PREAPPROVED,JOURNEY_3,816,555,CT-WEB
202606,PERSONALLOAN,SALPL,SAL_NO_OFFER,11.0,EMPLOYMENT DETAILS PAGE VIEWED,SAL_NO_OFFER,JOURNEY_3,17351,10295,APP
202608,PERSONALLOAN,SALPL,SAL_NO_OFFER,22.0,KYC_DETAILS_PAGE,SAL_NO_OFFER,JOURNEY_3,4087,2760,CT-WEB
202607,PERSONALLOAN,SALPL,SAL_NO_OFFER,18.0,"OFFER DETAILS,EDIT OFFER DETAILS",SAL_NO_OFFER,JOURNEY_3,30090,11859,CT-WEB
202605,PERSONALLOAN,SALPL,SAL_NO_OFFER,15.0,OFFER POPUP VIEWED,SAL_NO_OFFER,JOURNEY_3,317,101,APP
202607,PERSONALLOAN,SALPL,SAL_PREAPPROVED,19.0,LOAN SUMMARY PAGE VIEWED,SAL_PREAPPROVED,JOURNEY_3,247,135,CT-WEB
202607,PERSONALLOAN,SALPL,SAL_PREAPPROVED,24.0,BANK DETAILS PAGE,SAL_PREAPPROVED,JOURNEY_3,58,47,CT-WEB
202606,PERSONALLOAN,SALPL,SAL_PREAPPROVED,21.0,KYC_DETAILS_PAGE VIEWED,SAL_PREAPPROVED,JOURNEY_3,203,135,CT-WEB
202607,PERSONALLOAN,SALPL,SAL_PREAPPROVED,12.0,EMPLOYMENT DETAILS PAGE,SAL_PREAPPROVED,JOURNEY_3,46,41,APP
202607,PERSONALLOAN,SALPL,SAL_PREAPPROVED,19.0,LOAN SUMMARY PAGE VIEWED,SAL_PREAPPROVED,JOURNEY_3,30,22,APP
202608,PERSONALLOAN,SALPL,SAL_PREAPPROVED,2.1,PDP PAGE > CHECK LOAN OFFER > WITH ERROR-EP_VALIDATION_ERROR,SAL_PREAPPROVED,DPAOP3,5,2,APP
202604,PERSONALLOAN,SALPL,SAL_PREAPPROVED,15.0,OFFER POPUP VIEWED,SAL_PREAPPROVED,JOURNEY_3,23,11,APP
202607,PERSONALLOAN,SALPL,SAL_PREAPPROVED,2.1,PDP PAGE > CHECK LOAN OFFER > WITH ERROR-EP_VALIDATION_ERROR,SAL_PREAPPROVED,DPAOP3,15,5,APP
202605,PERSONALLOAN,SALPL,SAL_PREAPPROVED,2.1,PDP PAGE > CHECK LOAN OFFER > WITH ERROR-EP_VALIDATION_ERROR,SAL_PREAPPROVED,DPAOP3,2,1,APP
202607,PERSONALLOAN,SALPL,SAL_NO_OFFER,2.0,PDP PAGE > GACB,SAL_NO_OFFER,JOURNEY_3,4,3,APP
202605,PERSONALLOAN,SALPL,SAL_NO_OFFER,2.0,PDP PAGE > GACB,SAL_NO_OFFER,JOURNEY_3,6,4,APP
202608,PERSONALLOAN,SALPL,SAL_PREAPPROVED,4.0,PERSONAL DETAILS PAGE GACB,SAL_PREAPPROVED,JOURNEY_3,1,1,APP
202607,PERSONALLOAN,SALPL,SAL_PREAPPROVED,2.0,PDP PAGE > START NEW APPLICATION,SAL_PREAPPROVED,JOURNEY_3,1,1,APP
202607,PERSONALLOAN,SALPL,SAL_NO_OFFER,4.0,PERSONAL DETAILS PAGE SUBMIT,SAL_NO_OFFER,JOURNEY_3,78321,56426,CT-WEB
202607,PERSONALLOAN,SALPL,SAL_PREAPPROVED,20.0,BANK DETAILS PAGE,SAL_PREAPPROVED,DPAOP3,39779,22225,APP
202604,PERSONALLOAN,SALPL,SAL_NO_OFFER,1.0,PDP PAGE VIEW,SAL_NO_OFFER,JOURNEY_3,431326,213082,CT-WEB
202606,PERSONALLOAN,SALPL,SAL_PREAPPROVED,25.0,APPLICATION SUBMITTED SUCCESSFULLY VIEWED,SAL_PREAPPROVED,JOURNEY_3,140,129,CT-WEB
202607,PERSONALLOAN,SALPL,SAL_PREAPPROVED,13.0,OFFICE ADDRESS PAGE VIEWED,SAL_PREAPPROVED,DPAOP3,15764,10405,APP
202606,PERSONALLOAN,SALPL,SAL_PREAPPROVED,4.1,PERSONAL DETAILS PAGE GACB > MULTIPLE ERROR,SAL_PREAPPROVED,JOURNEY_3,4,4,APP
202606,PERSONALLOAN,SALPL,SAL_NO_OFFER,3.0,PERSONAL DETAILS PAGE VIEWED,SAL_NO_OFFER,JOURNEY_3,170155,89815,CT-WEB
202606,PERSONALLOAN,SALPL,SAL_PREAPPROVED,11.0,EMPLOYMENT DETAILS PAGE VIEWED,SAL_PREAPPROVED,JOURNEY_3,1567,889,APP
202606,PERSONALLOAN,SALPL,SAL_PREAPPROVED,22.0,APPLICATION SUBMITTED SUCCESSFULLY,SAL_PREAPPROVED,DPAOP3,118670,21739,APP
202605,PERSONALLOAN,SALPL,SAL_NO_OFFER,2.0,PDP PAGE > CHECK LOAN OFFER,SAL_NO_OFFER,DPAOP3,7017958,1444688,APP
202604,PERSONALLOAN,SALPL,SAL_NO_OFFER,19.0,BANK DETAILS PAGE VIEWED,SAL_NO_OFFER,DPAOP3,306135,132855,APP
202606,PERSONALLOAN,SALPL,SAL_NO_OFFER,12.0,EMPLOYMENT DETAILS PAGE,SAL_NO_OFFER,JOURNEY_3,27751,19871,CT-WEB
202606,PERSONALLOAN,SALPL,SAL_PREAPPROVED,2.0,PDP PAGE > CHECK LOAN OFFER,SAL_PREAPPROVED,DPAOP3,149392,68968,APP
202608,PERSONALLOAN,SALPL,SAL_PREAPPROVED,12.0,INCOME VERIFICATION LANDING PAGE,SAL_PREAPPROVED,DPAOP3,14535,13459,APP
202605,PERSONALLOAN,SALPL,SAL_NO_OFFER,16.0,LOAN SUMMARY PAGE > SAVE TO CART,SAL_NO_OFFER,DPAOP3,14571,12161,APP
202607,PERSONALLOAN,SALPL,SAL_PREAPPROVED,20.0,LOAN SUMMARY PAGE,SAL_PREAPPROVED,JOURNEY_3,150,109,CT-WEB
202607,PERSONALLOAN,SALPL,SAL_PREAPPROVED,4.0,PERSONAL DETAILS PAGE SUBMIT,SAL_PREAPPROVED,DPAOP3,130249,66740,APP
202606,PERSONALLOAN,SALPL,SAL_NO_OFFER,14.0,OFFICE ADDRESS,SAL_NO_OFFER,JOURNEY_3,23618,18900,CT-WEB
202605,PERSONALLOAN,SALPL,SAL_PREAPPROVED,4.2,PERSONAL DETAILS PAGE SUBMIT > FIELD ERROR,SAL_PREAPPROVED,JOURNEY_3,15713,4959,APP
202607,PERSONALLOAN,SALPL,SAL_NO_OFFER,14.0,OFFICE ADDRESS,SAL_NO_OFFER,JOURNEY_3,888,557,APP
