PARTITIONCOL,BUSINESS,PRODUCT,SUB_PRODUCT,STAGE_ORDER,STAGE_NAMES,Journey_name,ENTRYPOINT_STAGE,clicks,users,EP_PLATFORM
202608,PERSONALLOAN,SALPL,SAL_NO_OFFER,12.0,INCOME VERIFICATION LANDING PAGE,SAL_NO_OFFER,DPAOP3,570431,352224,APP
202605,PERSONALLOAN,SALPL,SAL_NO_OFFER,20.0,BANK DETAILS PAGE,SAL_NO_OFFER,DPAOP3,580836,274009,APP
202608,PERSONALLOAN,SALPL,SAL_PREAPPROVED,3.0,PERSONAL DETAILS PAGE VIEWED,SAL_PREAPPROVED,JOURNEY_3,1639,940,CT-WEB
202607,PERSONALLOAN,SALPL,SAL_NO_OFFER,24.0,BANK DETAILS PAGE,SAL_NO_OFFER,JOURNEY_3,4941,2991,CT-WEB
202606,PERSONALLOAN,SALPL,SAL_NO_OFFER,13.0,OFFICE ADDRESS VIEWED,SAL_NO_OFFER,JOURNEY_3,28099,13430,APP
202607,PERSONALLOAN,SALPL,SAL_PREAPPROVED,20.0,LOAN SUMMARY PAGE,SAL_PREAPPROVED,JOURNEY_3,20,18,APP
202606,PERSONALLOAN,SALPL,SAL_PREAPPROVED,24.0,BANK DETAILS PAGE,SAL_PREAPPROVED,JOURNEY_3,113,69,CT-WEB
202605,PERSONALLOAN,SALPL,SAL_NO_OFFER,22.0,KYC_DETAILS_PAGE,SAL_NO_OFFER,JOURNEY_3,141,71,APP
202606,PERSONALLOAN,SALPL,SAL_PREAPPROVED,13.0,OFFICE ADDRESS VIEWED,SAL_PREAPPROVED,JOURNEY_3,537,287,CT-WEB
202607,PERSONALLOAN,SALPL,SAL_PREAPPROVED,17.0,"OFFER DETAILS,EDIT OFFER DETAILS VIEWED",SAL_PREAPPROVED,JOURNEY_3,226,71,CT-WEB
202604,PERSONALLOAN,SALPL,SAL_NO_OFFER,2.0,PDP PAGE > GACB,SAL_NO_OFFER,JOURNEY_3,17,6,APP
202607,PERSONALLOAN,SALPL,SAL_PREAPPROVED,2.1,PDP PAGE > APPLY NOW > WITH ERROR,SAL_PREAPPROVED,JOURNEY_3,1,1,APP
